Episode,Reward,Steps,Completed,Deadlock
707,113.75,6,True,False
708,-419.15000000000214,500,False,False
709,-407.45000000000255,500,False,False
710,95.25,25,True,False
711,97.45,20,True,False
712,-405.50000000000256,500,False,False
713,113.65,8,True,False
714,91.55,21,True,False
715,-116.05,39,False,True
716,79.15,35,True,False
717,-450.3500000000021,500,False,False
718,107.75,9,True,False
719,53.55000000000002,79,True,False
720,-458.1500000000022,500,False,False
721,103.65,13,True,False
722,-413.3000000000019,500,False,False
723,83.15,33,True,False
724,76.85000000000002,42,True,False
725,45.75000000000004,79,True,False
726,64.15,62,True,False
727,-399.6500000000022,500,False,False
728,33.55000000000007,89,True,False
729,111.55,11,True,False
730,-444.50000000000205,500,False,False
731,-425.0000000000018,500,False,False
732,-487.40000000000185,500,False,False
733,-483.50000000000233,500,False,False
734,92.85,34,True,False
735,89.45,24,True,False
736,89.45,24,True,False
737,-94.05000000000001,28,False,True
738,-456.20000000000215,500,False,False
739,113.75,6,True,False
740,84.94999999999999,36,True,False
741,-452.3000000000021,500,False,False
742,84.54999999999998,44,True,False
743,7.250000000000085,108,True,False
744,-471.8000000000021,500,False,False
745,-465.950000000002,500,False,False
746,-144.45,61,False,True
747,95.35,23,True,False
748,81.15,34,True,False
749,80.04999999999998,56,True,False
750,-475.7000000000019,500,False,False
751,-102.15,34,False,True
752,-442.5500000000022,500,False,False
753,97.45,20,True,False
754,99.45,19,True,False
755,111.55,11,True,False
756,-454.2500000000022,500,False,False
757,93.65,18,True,False
758,-438.6500000000023,500,False,False
759,-467.90000000000214,500,False,False
760,68.25000000000001,58,True,False
761,-95.55,19,False,True
762,-31.24999999999993,137,True,False
763,-102.85000000000001,48,False,True
764,-458.150000000002,500,False,False
765,-407.4500000000018,500,False,False
766,87.35,27,True,False
767,95.44999999999999,21,True,False
768,90.94999999999999,33,True,False
769,81.25,32,True,False
770,113.45,12,True,False
771,103.65,13,True,False
772,-120.65,53,False,True
773,-109.75,30,False,True
774,63.85000000000005,68,True,False
775,27.25000000000007,98,True,False
776,105.65,12,True,False
777,22.950000000000102,106,True,False
778,93.35,24,True,False
779,96.94999999999999,30,True,False
780,-479.6000000000022,500,False,False
781,107.75,9,True,False
782,-487.4000000000019,500,False,False
783,-469.85000000000235,500,False,False
784,93.25,26,True,False
785,-467.9000000000019,500,False,False
786,-487.40000000000197,500,False,False
787,78.75000000000001,43,True,False
788,101.15,24,True,False
789,-479.600000000002,500,False,False
790,-450.3500000000022,500,False,False
791,99.55,17,True,False
792,-491.30000000000234,500,False,False
793,103.75,11,True,False
794,-101.95,30,False,True
795,105.65,12,True,False
796,101.45,18,True,False
797,-501.05000000000206,500,False,False
798,115.75,5,True,False
799,95.14999999999999,27,True,False
800,-479.60000000000207,500,False,False
801,109.75,8,True,False
802,66.55000000000004,53,True,False
803,101.65,14,True,False
804,-487.40000000000236,500,False,False
805,89.55,22,True,False
806,109.75,8,True,False
807,84.64999999999999,42,True,False
808,103.55,15,True,False
809,64.65000000000002,52,True,False
810,-94.05000000000001,28,False,True
811,-499.10000000000207,500,False,False
812,-493.25000000000193,500,False,False
813,107.65,11,True,False
814,81.35,30,True,False
815,103.05,25,True,False
816,68.25000000000003,58,True,False
817,95.65,17,True,False
818,88.94999999999999,34,True,False
819,79.14999999999999,35,True,False
820,-487.40000000000236,500,False,False
821,93.15,28,True,False
822,-444.50000000000205,500,False,False
823,87.25,29,True,False
824,-409.4000000000023,500,False,False
825,-487.400000000002,500,False,False
826,83.15,33,True,False
827,95.05,29,True,False
828,103.65,13,True,False
829,51.25000000000007,86,True,False
830,-405.50000000000256,500,False,False
831,97.65,16,True,False
832,105.45,16,True,False
833,111.75,7,True,False
834,-428.90000000000225,500,False,False
835,68.75000000000003,48,True,False
836,-99.75,25,False,True
837,90.94999999999999,33,True,False
